,Coefficient,Adj. R2,RMSE,Hyperparameters,Model type,Features Dropped
40 Yard,16.786602935925483,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Arm Length (in),5.9765656807906735,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Broad Jump (in),4.89168406772608,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
3Cone,4.044846943782733,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Shuttle,3.899949377337374,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Power_five,2.609159368818292,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Hand Size (in),2.367738841467927,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Weight (lbs),1.9202079380935122,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
60Yd Shuttle,1.5312010626248542,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Vert Leap (in),1.2549132870114768,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Age,0.8557991238179101,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Height (in),0.5254686769910514,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Bench Press,0.5040572324218321,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
Wonderlic,0.4938399300251795,0.09712072566138852,58.7839709895448,alpha = 120.45035402587811,Ridge Regression,Seasonal Stats
